case,storage_tau,role,spread,duration,memory,mean_spill_fraction,overflow_share
MANADO,8.0,urban_and_receiver,0,2,0.0,0.3425161417715706,0.8828125
MANADO,8.0,urban_and_receiver,0,2,2.0,0.14508313514573112,0.5169270833333334
MANADO,8.0,urban_and_receiver,0,8,0.0,0.15875623229172944,0.5091145833333334
MANADO,8.0,urban_and_receiver,0,8,2.0,0.1267374011177869,0.453125
MANADO,8.0,urban_and_receiver,0,24,0.0,0.06439242660880752,0.2747395833333333
MANADO,8.0,urban_and_receiver,0,24,2.0,0.059816655856589206,0.2708333333333333
MANADO,8.0,urban_and_receiver,8,2,0.0,0.32122631093605836,0.8111979166666666
MANADO,8.0,urban_and_receiver,8,2,2.0,0.15979610109319003,0.5559895833333334
MANADO,8.0,urban_and_receiver,8,8,0.0,0.15507553582095177,0.5
MANADO,8.0,urban_and_receiver,8,8,2.0,0.12816461608466098,0.4544270833333333
MANADO,8.0,urban_and_receiver,8,24,0.0,0.06953801445321812,0.2877604166666667
MANADO,8.0,urban_and_receiver,8,24,2.0,0.05499528901503956,0.2552083333333333
MANADO,8.0,urban_and_receiver,24,2,0.0,0.27004944456017316,0.7591145833333334
MANADO,8.0,urban_and_receiver,24,2,2.0,0.14430693484398463,0.5377604166666666
MANADO,8.0,urban_and_receiver,24,8,0.0,0.13756318848049423,0.4609375
MANADO,8.0,urban_and_receiver,24,8,2.0,0.09337927479424546,0.3763020833333333
MANADO,8.0,urban_and_receiver,24,24,0.0,0.05719542895781391,0.2526041666666667
MANADO,8.0,urban_and_receiver,24,24,2.0,0.045915308476130144,0.2265625
