scenario_id,duration,shape,spread,weights,activation,delay,memory,rep
326,2,triangle,24,equal,all,unit,2.0,2
327,2,triangle,24,equal,all,unit,2.0,3
328,2,triangle,24,equal,all,heterogeneous,0.0,0
329,2,triangle,24,equal,all,heterogeneous,0.0,1
330,2,triangle,24,equal,all,heterogeneous,0.0,2
331,2,triangle,24,equal,all,heterogeneous,0.0,3
332,2,triangle,24,equal,all,heterogeneous,2.0,0
333,2,triangle,24,equal,all,heterogeneous,2.0,1
334,2,triangle,24,equal,all,heterogeneous,2.0,2
335,2,triangle,24,equal,all,heterogeneous,2.0,3
336,2,triangle,24,equal,subset,unit,0.0,0
337,2,triangle,24,equal,subset,unit,0.0,1
338,2,triangle,24,equal,subset,unit,0.0,2
339,2,triangle,24,equal,subset,unit,0.0,3
340,2,triangle,24,equal,subset,unit,2.0,0
341,2,triangle,24,equal,subset,unit,2.0,1
342,2,triangle,24,equal,subset,unit,2.0,2
343,2,triangle,24,equal,subset,unit,2.0,3
344,2,triangle,24,equal,subset,heterogeneous,0.0,0
345,2,triangle,24,equal,subset,heterogeneous,0.0,1
346,2,triangle,24,equal,subset,heterogeneous,0.0,2
347,2,triangle,24,equal,subset,heterogeneous,0.0,3
348,2,triangle,24,equal,subset,heterogeneous,2.0,0
349,2,triangle,24,equal,subset,heterogeneous,2.0,1
350,2,triangle,24,equal,subset,heterogeneous,2.0,2
351,2,triangle,24,equal,subset,heterogeneous,2.0,3
352,2,triangle,24,random,all,unit,0.0,0
353,2,triangle,24,random,all,unit,0.0,1
354,2,triangle,24,random,all,unit,0.0,2
355,2,triangle,24,random,all,unit,0.0,3
356,2,triangle,24,random,all,unit,2.0,0
357,2,triangle,24,random,all,unit,2.0,1
358,2,triangle,24,random,all,unit,2.0,2
359,2,triangle,24,random,all,unit,2.0,3
360,2,triangle,24,random,all,heterogeneous,0.0,0
361,2,triangle,24,random,all,heterogeneous,0.0,1
362,2,triangle,24,random,all,heterogeneous,0.0,2
363,2,triangle,24,random,all,heterogeneous,0.0,3
364,2,triangle,24,random,all,heterogeneous,2.0,0
365,2,triangle,24,random,all,heterogeneous,2.0,1
366,2,triangle,24,random,all,heterogeneous,2.0,2
367,2,triangle,24,random,all,heterogeneous,2.0,3
368,2,triangle,24,random,subset,unit,0.0,0
